|Unnamed: 0|Unnamed: 0.1|Unnamed: 0.1.1|Unnamed: 0.1.1.1|Unnamed: 0.1.1.1.1|Unnamed: 0.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1.1.1|Unnamed: 0.1.1.1.1.1.1.1.1.1|Model|Release date|Max resolution|Low resolution|Effective pixels|Zoom wide (W)|Zoom tele (T)|Normal focus range|Macro focus range|Storage included|Weight (inc. batteries)|Dimensions|Price
43|43|43|43|43|43|43|43|43|43|43|Canon PowerShot A75|2004.0|None|1600.0||35.0|105.0|46.0|5.0|32.0|315.0|101.0|139.0
44|44|44|44|44|44|44|44|44|Allez au boulot ! :)|44|Canon PowerShot A80|2003.0|2272.0|1600.0|3.0|38.0|114.0|46.0|5.0|32.0|350.0|103.0|139.0
45|45|45|45|45|45|Allez au boulot ! :)|45|courage!!!|45|Allez au boulot ! :)|Canon PowerShot A85|2004.0|2272.0|1600.0|4.0|35.0|105.0|ù*ùfsfsf///|5.0|32.0|300.0|101.0|139.0
46|46|46|46|46|46|Allez au boulot ! :)|46|46|46|46|Canon PowerShot A95|2004.0|2592.0|-400.0|5.0|38.0|114.0|45.0|5.0|32.0|335.0|101.0|139.0
47|47|47|47|47|47|47|47|47|47|47|Canon EOS 10D|2003.0|3072.0|2048.0|6.0|0.0|0.0|0.0|0.0|0.0|875.0|150.0|1299.0
48|48|48|48|48|48|48|48|48|48|48|Canon EOS-1D|2001.0|2464.0|1232.0|4.0|0.0|0.0|0.0|0.0|0.0|1585.0|156.0|4499.0
49|49|49|49|49|49|49|49|49|49|courage!!!|Canon EOS-1D Mark II|2004.0|3504.0|3104.0|8.0|0.0|0.0|0.0|0.0|0.0|1565.0|156.0|4499.0
50|50|50|50|50|50|50|50|50|50|50|Canon EOS-1D Mark III|2007.0|3888.0|hello|10.0||0.0|0.0|0.0|0.0|1335.0|156.0|4499.0
51|51|51|51|51|51|51|51|courage!!!|Allez au boulot ! :)|51|Canon EOS-1D Mark II N|2005.0|3504.0|3104.0|8.0|0.0|0.0|0.0|0.0|0.0|1565.0|156.0|4499.0
52|52|52|52|52|52|52|52|52|52|52|Canon EOS-1Ds|2002.0|4064.0|2032.0|11.0|0.0|0.0|0.0|0.0|0.0|1585.0|156.0|7999.0
53|53|53|53|53|53|Allez au boulot ! :)|53|53|53|53|ù*ùfsfsf///|2004.0|4992.0|3600.0|16.0|0.0|0.0|0.0|0.0|0.0|1565.0|156.0|7999.0
54|54|54|54|54|54|54|54|54|54|54|ù*ùfsfsf///|2007.0|5616.0|hello|21.0|0.0|0.0|0.0|0.0|0.0|1385.0|150.0|7999.0
55|55|55|55|55|Allez au boulot ! :)|Allez au boulot ! :)|55|55|55|55|Canon EOS 20D|2004.0|3504.0|None|8.0|0.0|0.0|0.0|0.0|0.0|770.0|144.0|1299.0
56|56|56|56|56|56|56|56|56|56|56|Canon EOS 20Da|2005.0|3504.0|2544.0|8.0|0.0|0.0|0.0|0.0|0.0|770.0|144.0|1299.0
57|57|57|57|57|57|55555555555|courage!!!|57|57|57|Canon EOS 300D / Digital Rebel|2003.0|3072.0|2048.0|6.0|0.0|ù*ùfsfsf///|0.0|0.0|0.0|645.0|142.0|1299.0
58|58|58|58|58|58|58|Allez au boulot ! :)|58|58|58|Canon EOS 30D|2006.0|None|hello|8.0|0.0|0.0|0.0|0.0|0.0|784.0|144.0|1299.0
59|59|59|59|59|59|59|59|59|59|59|Canon EOS 350D / Digital Rebel XT|2005.0|None|2496.0|8.0|0.0|0.0|0.0|0.0|0.0|540.0|127.0|1299.0
60|60|60|60|60|60|60|60|60|60|60|Canon EOS 400D / Digital Rebel XTi|2006.0|3888.0|2816.0|10.0|0.0|0.0|0.0||0.0|556.0|127.0|1299.0
61|61|61|61|61|61|Allez au boulot ! :)|Allez au boulot ! :)|61|61|Allez au boulot ! :)|Canon EOS 40D|2007.0|3888.0|hello|10.0|0.0|ù*ùfsfsf///|0.0|0.0|0.0|822.0|146.0|1299.0
62|62|62|62|62|Allez au boulot ! :)|62|62|62|62|62|Canon EOS 5D|2005.0|4368.0|3168.0|12.0||0.0|0.0|0.0|0.0|895.0|152.0|2499.0
63|63|63|63|63|63|63|63|63|63|63|Canon EOS D30|2000.0|2160.0|1440.0|3.0|0.0|ù*ùfsfsf///|0.0|0.0|16.0|855.0|150.0|549.0
64|64|64|64|64|64|Allez au boulot ! :)|64|64|64|64|Canon EOS D60|2002.0|3072.0|2048.0|6.0|0.0|0.0|0.0|0.0|16.0|855.0|150.0|549.0
65|65|65|65|65|65|65|65|65|65|65|Canon PowerShot G1|2000.0|2048.0|1024.0|3.0|None|102.0|70.0|6.0|16.0|490.0|120.0|499.0
66|66|66|66|66|66|66|66|66|66|66|Canon PowerShot G2|2001.0|ù*ùfsfsf///|1600.0|3.0|34.0|102.0|70.0|6.0|32.0|510.0|121.0|499.0
67|67|67|67|67|67|55555555555|67|67|67|67|Canon PowerShot G3|2002.0|None|1600.0|3.0|35.0|140.0|50.0|5.0|32.0|490.0|121.0|499.0
68|68|68|68|68|68|68|68|68|68|68|Canon PowerShot G5|2003.0|2592.0|1600.0|5.0|35.0|140.0|50.0|5.0|32.0|490.0|121.0|149.0
69|69|69|69|69|69|69|69|69|69|69|Canon PowerShot G6|2004.0|3072.0|2592.0|7.0|35.0|140.0|50.0|5.0|32.0|467.0|105.0|499.0
70|70|70|70|70|70|70|55555555555|70|70|70|Canon PowerShot G7|2006.0|3648.0|2816.0|10.0|35.0|210.0|50.0|1.0|32.0|380.0|106.0|499.0
71|71|71|71|71|71|71|71|71|Allez au boulot ! :)|71|Canon PowerShot G9|2007.0|4000.0|3264.0|12.0|35.0|210.0|50.0||32.0|370.0|106.0|499.0
72|72|72|72|72|72|72|Allez au boulot ! :)|72|72|72|Canon PowerShot Pro1|2004.0|3264.0|2272.0|8.0|None|200.0|50.0|3.0|64.0|640.0|118.0|139.0
73|73|73|73|73|73|73|73|73|73|73|Canon PowerShot Pro70|1998.0|1536.0|None|1.0|None|70.0|32.0|12.0|8.0|800.0|148.0|199.0
74|74|74|74|74|74|74|74|74|74|74|ù*ùfsfsf///|2001.0|1856.0|1024.0||None|370.0|10.0|10.0|16.0|680.0|127.0|384.0
75|75|75|75|75|75|75|75|Allez au boulot ! :)|75|75|Canon PowerShot S10|1999.0|1600.0|hello|1.0||70.0|46.0|12.0|8.0|320.0|106.0|399.0
76|76|76|76|76|76|76|76|76|76|76|Canon PowerShot S100|2000.0|1600.0|640.0|1.0|35.0|70.0|57.0|10.0|8.0|250.0|87.0|199.0
77|77|77|77|77|77|77|77|77|77|77|Canon PowerShot S110|2001.0|None|1024.0|1.0|35.0|70.0|57.0|10.0|8.0|250.0|87.0|199.0
78|78|78|78|78|78|78|78|78|78|78|Canon PowerShot S1 IS|2004.0|2048.0|1600.0|3.0|38.0|380.0|10.0|10.0|32.0|469.0|111.0|399.0
79|79|79|79|79|79|79|79|79|79|79|Canon PowerShot S20|2000.0|2048.0|1024.0|3.0|32.0|64.0|66.0|12.0|16.0|320.0|106.0|399.0
80|80|80|80|80|80|80|80|80|80|80|Canon PowerShot S200|2002.0|1600.0|1024.0|hello|35.0|70.0|57.0|10.0|8.0|250.0|87.0|199.0
81|81|81|81|81|81|81|81|81|81|81|Canon PowerShot S230|2002.0|2048.0|1600.0|3.0|35.0|70.0|47.0|10.0|16.0|250.0|87.0|199.0
82|82|82|82|82|82|82|82|Allez au boulot ! :)|82|Allez au boulot ! :)|Canon PowerShot S2 IS|2005.0|2592.0|2048.0|5.0|36.0|432.0|50.0|10.0|16.0|505.0|113.0|399.0
83|83|83|83|83|83|83|83|83|83|83|ù*ùfsfsf///|2001.0|None|1600.0|3.0|35.0|105.0|ù*ùfsfsf///|10.0|16.0|323.0|112.0|399.0
84|84|84|84|84|84|84|84|84|84|84|Canon PowerShot S300|2001.0|1600.0|1024.0|1.0|35.0|105.0|76.0|16.0|hello|270.0|95.0|199.0
85|85|85|85|85|85|85|85|85|85|85|Canon PowerShot S330|2002.0|1600.0|1024.0|1.0|35.0|105.0|76.0|16.0|8.0|274.0|95.0|199.0
86|86|86|86|86|86|86|86|86|86|86|Canon PowerShot S3 IS|2006.0|2816.0|2272.0|6.0|36.0|432.0|50.0|10.0|16.0|510.0|113.0|399.0
87|87|87|87|87|87|87|87|87|87|87|Canon PowerShot S40|2001.0|2272.0|hello|3.0|35.0|ù*ùfsfsf///|80.0|10.0|16.0|323.0|112.0|139.0
88|88|88|88|88|88|88|88|88|Allez au boulot ! :)|88|Allez au boulot ! :)|2003.0|2272.0|hello|3.0|36.0|108.0|46.0|5.0|32.0|230.0|87.0|139.0
89|89|89|89|89|89|89|89|89|89|89|Canon PowerShot S410|2004.0|2272.0|1600.0|3.0|36.0|108.0|0.0|5.0|32.0|215.0|87.0|139.0
90|90|90|90|90|90|Allez au boulot ! :)|courage!!!|90|90|90|Canon PowerShot S45|2002.0|2272.0|1600.0|3.0|35.0|105.0|50.0|10.0|32.0|323.0|112.0|139.0
91|91|91|91|91|91|91|91|91|91|91|ù*ùfsfsf///|2003.0|2592.0|1600.0|5.0|35.0|105.0|50.0||32.0|323.0|112.0|399.0
92|92|92|92|92|92|92|92|92|92|92|Canon PowerShot S500|2004.0|2592.0|2048.0|5.0|None|108.0|0.0|5.0|32.0|215.0|87.0|149.0
93|93|93|93|93|93|Allez au boulot ! :)|93|93|93|93|Canon PowerShot S5 IS|2007.0|3264.0|2272.0|8.0|36.0|432.0|50.0|10.0|32.0|550.0|117.0|399.0
94|94|94|94|94|94|94|94|94|94|94|Canon PowerShot S60|2004.0|2592.0|1600.0|5.0|28.0|100.0|50.0|4.0|32.0|300.0|114.0|399.0
95|95|95|95|95|95|95|95|95|95|95|ù*ùfsfsf///|2004.0|None|2592.0|7.0|28.0|100.0|50.0|4.0|32.0|300.0|114.0|399.0
96|96|96|96|96|96|96|96|96|96|courage!!!|Canon PowerShot S80|2005.0|3264.0|2592.0|8.0|28.0|100.0|50.0|4.0|32.0|290.0|104.0|399.0
97|97|97|97|97|97|97|97|97|97|97|Canon PowerShot SD10|2003.0|2272.0|1600.0|3.0|38.0|38.0|ù*ùfsfsf///|3.0|32.0|140.0|90.0|199.0
98|98|98|98|98|Allez au boulot ! :)|98|98|98|98|98|Canon PowerShot SD100|2003.0|2048.0|1600.0|3.0|35.0|70.0|47.0|10.0|hello|185.0|85.0|199.0
99|99|99|99|99|Allez au boulot ! :)|99|99|99|99|99|Canon PowerShot SD1000|2007.0|3072.0|2592.0|7.0|35.0|105.0|0.0|5.0|32.0|175.0|86.0|199.0
100|100|100|100|100|100|100|100|100|100|100|Canon PowerShot SD110|2004.0|2048.0|1600.0|3.0|35.0|70.0|0.0|10.0|16.0|195.0|85.0|199.0
101|101|101|101|101|101|101|101|101|101|101|Canon PowerShot SD20|2004.0|2592.0|2048.0|||39.0|0.0|3.0|32.0|140.0|90.0|199.0
102|102|102|102|102|102|102|102|102|102|102|Canon PowerShot SD200|2004.0|2048.0|1600.0|3.0|35.0|105.0|0.0|3.0|16.0|135.0|86.0|199.0
103|103|103|103|103|103|103|103|103|103|103|ù*ùfsfsf///|2005.0|2592.0|2048.0|5.0|38.0|90.0|0.0||hello|120.0|96.0|199.0
104|104|104|104|104|104|104|104|104|104|104|Canon PowerShot SD300|2004.0|None|1600.0|3.0|35.0|ù*ùfsfsf///|0.0|3.0|16.0|147.0|86.0|199.0
105|105|105|105|105|Allez au boulot ! :)|105|105|105|105|105|Canon PowerShot SD40|2006.0|3072.0|2592.0|7.0|38.0|90.0|0.0|10.0|16.0|120.0|96.0|199.0
106|106|106|106|106|106|106|106|106|106|106|Canon PowerShot SD400|hello|2592.0|2048.0|5.0|35.0|105.0|0.0|3.0|16.0|150.0|86.0|199.0
107|107|107|107|107|107|107|107|107|107|107|Canon PowerShot SD430 Wireless|2005.0|2592.0|2048.0|5.0|35.0|105.0|0.0|3.0|16.0|185.0|99.0|199.0
108|108|108|108|108|108|108|108|courage!!!|108|courage!!!|Canon PowerShot SD450|2005.0|2592.0|2048.0|5.0|35.0|ù*ùfsfsf///|0.0|3.0|16.0|155.0|86.0|199.0
109|109|109|109|109|109|109|109|109|109|109|Canon PowerShot SD500|2005.0|3072.0|2592.0|7.0|37.0|111.0|0.0|5.0|32.0|200.0|90.0|199.0
110|110|110|110|110|110|110|110|110|110|110|Canon PowerShot SD550|2005.0|None|2592.0|7.0|37.0|111.0|0.0|5.0|hello|185.0|90.0|199.0
111|111|111|111|111|111|111|111|111|111|111|Canon PowerShot SD600|hello|2816.0|None|6.0|35.0|105.0|ù*ùfsfsf///|3.0|16.0|170.0|86.0|199.0
112|112|112|112|112|112|112|Allez au boulot ! :)|112|112|112|Canon PowerShot SD630|2006.0|None|hello|6.0|35.0|105.0|ù*ùfsfsf///|3.0|16.0|175.0|90.0|199.0
113|113|113|113|113|113|113|55555555555|Allez au boulot ! :)|113|113|Canon PowerShot SD700 IS|2006.0|2816.0|2272.0|6.0|35.0|140.0|45.0||16.0|195.0|90.0|384.0
114|114|114|114|114|Allez au boulot ! :)|114|114|114|114|114|Canon PowerShot SD750|2007.0|3072.0|2592.0|7.0|35.0|105.0|0.0|5.0|32.0|170.0|92.0|384.0
115|115|115|115|115|115|115|115|115|115|115|Canon PowerShot SD800 IS|2006.0|3072.0|2592.0||28.0|105.0|0.0||16.0|195.0|90.0|384.0
116|116|116|116|116|116|116|116|116|courage!!!|116|Canon PowerShot SD850 IS|hello|3264.0|2272.0|8.0|35.0|ù*ùfsfsf///|45.0|2.0|32.0|195.0|90.0|384.0
117|117|117|117|117|117|117|117|117|117|117|Canon PowerShot SD870 IS|2007.0|3264.0|2592.0|8.0|28.0|105.0|45.0|2.0|32.0|165.0|93.0|384.0
118|118|118|118|118|118|118|118|Allez au boulot ! :)|118|118|Canon PowerShot SD900|2006.0|3648.0|2816.0|10.0|37.0|111.0|0.0|5.0|32.0|205.0|91.0|199.0
119|119|119|119|119|119|119|119|119|119|119|Allez au boulot ! :)|2007.0|4000.0|3264.0|12.0|36.0|133.0|50.0|5.0|32.0|205.0|96.0|384.0
120|120|120|120|120|120|120|120|courage!!!|120|120|Canon PowerShot SX100 IS|2007.0|3264.0|2592.0|8.0||360.0|50.0|1.0|hello|316.0|109.0|299.0
121|121|121|121|121|121|121|121|121|121|121|Canon PowerShot TX1|hello|3072.0|2592.0|7.0|39.0|390.0|50.0|10.0|0.0|260.0|89.0|139.0
122|122|122|122|122|122|122|122|122|122|122|Casio Exilim EX-P505|2005.0|2560.0|2048.0|4.0|38.0|190.0|40.0|1.0|7.0|275.0|99.0|249.0
123|123|123|123|123|123|123|123|123|123|123|Casio Exilim EX-P600|2004.0|2816.0|2048.0|5.0|33.0|132.0|40.0|10.0|9.0|275.0|98.0|249.0
124|124|124|124|124|124|124|124|Allez au boulot ! :)|124|124|Casio Exilim EX-P700|2004.0|3072.0|2304.0|7.0|33.0|132.0|40.0|10.0|9.0|275.0|98.0|249.0
125|125|125|125|125|125|Allez au boulot ! :)|Allez au boulot ! :)|125|125|125|Casio Exilim EX-S100|2004.0|2048.0|1600.0|3.0||102.0|40.0|17.0|9.0|123.0|88.0|249.0
126|126|126|126|126|126|126|126|126|126|126|Casio Exilim EX-S20|2003.0|None|1280.0|hello|35.0|35.0|80.0|30.0|10.0|100.0|83.0|249.0
127|127|127|127|127|127|127|127|127|127|127|ù*ùfsfsf///|2003.0|2048.0|-400.0|3.0|35.0|35.0|80.0|80.0|10.0|110.0|90.0|249.0
128|128|128|128|128|128|128|128|128|128|128|ù*ùfsfsf///|2005.0|2560.0|2304.0|4.0|38.0|114.0|40.0|17.0|hello|125.0|90.0|249.0
129|129|129|129|129|129|129|129|129|129|129|Allez au boulot ! :)|2005.0|2816.0|2304.0|6.0||114.0|40.0|15.0|8.0|155.0|90.0|249.0
130|130|130|130|130|Allez au boulot ! :)|130|130|130|130|130|Casio Exilim EX-S600d|2006.0|2816.0|2304.0|6.0|38.0|114.0|40.0|15.0|8.0|155.0|90.0|249.0
131|131|131|131|131|131|131|Allez au boulot ! :)|131|131|131|Casio Exilim EX-S880|2007.0|3264.0|2816.0|8.0|38.0|114.0|ù*ùfsfsf///|15.0|10.0|138.0|94.5|249.0
132|132|132|132|132|132|132|Allez au boulot ! :)|132|132|132|Casio Exilim EX-V7|2007.0|3072.0|2560.0|7.0|38.0|266.0|30.0|10.0|11.0|190.0|96.0|299.0
133|133|133|133|133|133|133|133|133|133|133|Casio Exilim EX-V8|2007.0|None|2816.0|8.0|None|266.0|40.0|10.0|11.0|199.0|96.0|299.0
134|134|134|134|134|134|134|134|134|134|134|Casio Exilim EX-Z10|2005.0|2560.0|2304.0|5.0|35.0|114.0|40.0|6.0|8.0|154.0|90.0|329.0
135|135|135|135|135|135|135|135|135|Allez au boulot ! :)|135|Casio Exilim EX-Z1000|2006.0|3648.0|2560.0|10.0|38.0|114.0|40.0|6.0|8.0|185.0|92.0|329.0
136|136|136|136|136|136|136|136|136|136|136|Casio Exilim EX-Z1050|2007.0|3648.0|2560.0|10.0|38.0|114.0|40.0|10.0|15.0|165.0|91.0|329.0
137|137|137|137|137|Allez au boulot ! :)|137|137|137|137|137|Casio Exilim EX-Z1080|2007.0|3648.0|hello|10.0|38.0|ù*ùfsfsf///|40.0|10.0|11.0|165.0|91.0|329.0
138|138|138|138|138|138|138|Allez au boulot ! :)|138|138|138|Casio Exilim EX-Z110|2005.0|2816.0|2304.0|hello|35.0|114.0|40.0|6.0|8.0|151.0|90.0|329.0
139|139|139|139|139|139|139|139|139|139|139|Allez au boulot ! :)|2005.0|3072.0|2560.0|7.0|38.0|114.0|50.0|10.0|8.0|154.0|90.0|329.0
140|140|140|140|140|140|140|140|140|140|140|Casio Exilim EX-Z1200 SR|2007.0|4000.0|3264.0|12.0|37.0|111.0|40.0|6.0|11.0|162.0|93.0|329.0
141|141|141|141|141|141|141|Allez au boulot ! :)|141|141|141|Casio Exilim EX-Z3|2003.0|2048.0|1600.0|3.0|35.0|105.0|40.0|6.0|16.0|170.0|87.0|329.0
142|142|142|142|142|142|142|142|142|142|142|Casio Exilim EX-Z30|2004.0|2048.0|1600.0|3.0|35.0|105.0|40.0|6.0|9.0|150.0|87.0|329.0
143|143|143|143|143|143|143|Allez au boulot ! :)|143|143|143|Casio Exilim EX-Z4|hello|2304.0|1600.0|4.0|35.0|105.0|40.0|6.0|16.0|170.0|87.0|329.0
144|144|144|144|144|144|144|144|144|144|144|Casio Exilim EX-Z40|2004.0|2304.0|1600.0|4.0|35.0|105.0|40.0|6.0|hello|150.0|87.0|329.0
145|145|145|145|145|145|145|Allez au boulot ! :)|145|145|145|Casio Exilim EX-Z5|2006.0|None|2304.0|4.0|None|114.0|40.0|10.0|hello|160.0|95.0|329.0
146|146|146|146|146|146|146|146|146|146|146|Casio Exilim EX-Z50|2004.0||2048.0|hello|35.0|105.0|50.0|6.0|9.0|171.0|87.0|329.0
147|147|147|147|147|147|Allez au boulot ! :)|147|147|147|147|Casio Exilim EX-Z500|2005.0|2560.0|2304.0|5.0||114.0|40.0|17.0|8.0|127.0|89.0|329.0
148|148|148|148|148|148|148|148|Allez au boulot ! :)|148|148|ù*ùfsfsf///|2004.0|2560.0|2048.0|5.0|35.0|105.0|50.0|6.0|9.0|180.0|87.0|329.0
149|149|149|149|149|149|149|149|149|149|149|Casio Exilim EX-Z57|2005.0|2560.0|2048.0|4.0|35.0|105.0|40.0|6.0|9.0|175.0|89.0|199.0
